loan_id,name,date_of_birth,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,CIBIL_rating,income_level,loan_rating,loan_term_type,dependent_level,edu_status,type_employment,loan_approval
345,Gregory Garcia,1969-04-24,0,Graduate,No,2600000,5100000,14,678,500000,1200000,6000000,3100000,Approved,Good,Low-Middle,Bronze,Intermediate,Low,1,0,1
346,Kevin Davis,1973-07-03,4,Graduate,No,4200000,16800000,6,381,9600000,3800000,14800000,5900000,Rejected,Poor,Upper-Middle,Silver,Short Term,High,1,0,0
347,Andrew Price,1975-11-15,5,Graduate,Yes,8000000,28000000,10,449,18500000,1500000,17400000,3900000,Rejected,Poor,High,Gold,Intermediate,High,1,1,0
348,David Pierce,1976-10-04,1,Not Graduate,No,7100000,23500000,12,768,6400000,12100000,22400000,7300000,Approved,Excellent,Upper-Middle,Gold,Intermediate,Low,0,0,1
349,David Vaughn,1998-11-08,0,Not Graduate,No,2000000,7000000,6,666,0,1200000,4300000,1400000,Rejected,Good,Low-Middle,Bronze,Short Term,Low,0,0,0
350,William Hayes,1967-06-12,4,Not Graduate,Yes,5800000,13300000,14,742,16100000,9300000,16300000,7000000,Approved,Good,Upper-Middle,Silver,Intermediate,High,0,1,1
351,Jamie Calhoun,1995-01-31,3,Not Graduate,Yes,6700000,15800000,4,445,10500000,7600000,14100000,9100000,Rejected,Poor,Upper-Middle,Silver,Short Term,Moderate,0,1,0
352,Shannon Phillips,1967-07-07,2,Graduate,No,7300000,28700000,14,634,5900000,3800000,21200000,10800000,Approved,Average,Upper-Middle,Gold,Intermediate,Moderate,1,0,1
353,Kristie Young,1984-01-23,4,Not Graduate,No,3300000,9700000,14,782,2500000,0,10400000,2200000,Approved,Excellent,Low-Middle,Bronze,Intermediate,High,0,0,1
354,Rachel Moore,1977-03-23,0,Graduate,No,3000000,7000000,10,781,7200000,600000,11700000,2700000,Approved,Excellent,Low-Middle,Bronze,Intermediate,Low,1,0,1
355,Michael Ross,1985-12-13,4,Not Graduate,No,7900000,17200000,14,318,14200000,9500000,23200000,9000000,Rejected,Poor,High,Silver,Intermediate,High,0,0,0
356,Taylor Freeman,2004-02-09,5,Not Graduate,No,7600000,24100000,18,721,21900000,11500000,22900000,7200000,Approved,Good,High,Gold,Long Term,High,0,0,1
357,Mary Kerr,1960-10-14,5,Not Graduate,No,3700000,9800000,4,563,9500000,5100000,11200000,3000000,Approved,Average,Low-Middle,Bronze,Short Term,High,0,0,1
358,Amanda Jones,1979-12-09,2,Not Graduate,No,8400000,26300000,4,419,22900000,7900000,29200000,6200000,Approved,Poor,High,Gold,Short Term,Moderate,0,0,1
359,Elizabeth Wells,1971-01-25,0,Graduate,Yes,8200000,20800000,14,372,3800000,100000,26100000,5200000,Rejected,Poor,High,Gold,Intermediate,Low,1,1,0
360,Robert Fisher,1974-01-20,0,Not Graduate,No,2900000,9500000,18,885,4300000,2300000,6500000,3500000,Approved,Excellent,Low-Middle,Bronze,Long Term,Low,0,0,1
361,Angel Lee,1992-12-29,1,Not Graduate,Yes,9900000,38400000,12,596,10000000,9300000,36500000,6800000,Approved,Average,High,Platinum,Intermediate,Low,0,1,1
362,John Phillips,1976-05-07,0,Graduate,No,4400000,14100000,2,349,3300000,1300000,8800000,6200000,Approved,Poor,Upper-Middle,Silver,Short Term,Low,1,0,1
363,Jamie Jenkins,1986-05-06,1,Not Graduate,Yes,9000000,32200000,16,468,4500000,16400000,28600000,10900000,Rejected,Poor,High,Platinum,Long Term,Low,0,1,0
364,Eugene Prince,1997-10-18,3,Not Graduate,Yes,6800000,26900000,16,818,14700000,10400000,26300000,7300000,Approved,Excellent,Upper-Middle,Gold,Long Term,Moderate,0,1,1
365,Jacob Wagner,1989-09-27,2,Not Graduate,No,8700000,28000000,12,543,16900000,6000000,22900000,6700000,Rejected,Poor,High,Gold,Intermediate,Moderate,0,0,0
366,Erin Krause,1964-11-15,3,Graduate,No,9400000,21900000,16,685,8100000,5600000,34500000,5000000,Approved,Good,High,Gold,Long Term,Moderate,1,0,1
367,Alexis Mercer,1972-06-22,3,Not Graduate,Yes,6000000,12500000,18,851,14600000,5000000,16800000,5000000,Approved,Excellent,Upper-Middle,Silver,Long Term,Moderate,0,1,1
368,Mason Wells,1973-08-11,1,Not Graduate,Yes,9400000,29800000,10,377,24100000,18500000,30900000,11700000,Rejected,Poor,High,Gold,Intermediate,Low,0,1,0
369,Michael Cohen,1992-12-17,0,Not Graduate,Yes,1000000,4000000,10,620,2400000,1300000,3700000,1100000,Approved,Average,Low,Bronze,Intermediate,Low,0,1,1
370,Anthony Green,1965-07-08,3,Graduate,Yes,900000,2300000,20,611,600000,1500000,1900000,500000,Approved,Average,Low,Bronze,Long Term,Moderate,1,1,1
371,David Adams,1994-07-31,4,Not Graduate,No,2100000,7700000,4,767,1200000,1700000,6900000,1300000,Approved,Excellent,Low-Middle,Bronze,Short Term,High,0,0,1
372,Julia Mullins,1975-02-17,5,Graduate,Yes,1100000,3200000,20,592,3200000,700000,3500000,500000,Approved,Average,Low-Middle,Bronze,Long Term,High,1,1,1
373,David Rasmussen,1998-06-29,0,Graduate,Yes,600000,2300000,4,319,1600000,800000,2300000,700000,Approved,Poor,Low,Bronze,Short Term,Low,1,1,1
374,Michael Stanley,1987-10-24,4,Not Graduate,Yes,9200000,25500000,10,900,9400000,10500000,27400000,12800000,Approved,Excellent,High,Gold,Intermediate,High,0,1,1
375,William Fisher,1968-03-08,2,Not Graduate,Yes,3600000,12800000,18,814,8600000,4100000,10300000,4100000,Approved,Excellent,Low-Middle,Silver,Long Term,Moderate,0,1,1
376,Danielle Rodriguez,1985-02-14,5,Not Graduate,Yes,1300000,5000000,10,755,2100000,2200000,4800000,1900000,Approved,Excellent,Low-Middle,Bronze,Intermediate,High,0,1,1
377,Margaret Morgan,1995-06-10,5,Graduate,Yes,7700000,16800000,20,584,8600000,4800000,23400000,8000000,Approved,Average,High,Silver,Long Term,High,1,1,1
378,Matthew Ford,1974-05-31,4,Graduate,Yes,9500000,23500000,14,380,22900000,6700000,25100000,7300000,Rejected,Poor,High,Gold,Intermediate,High,1,1,0
379,Luis Miller,1969-09-02,2,Not Graduate,Yes,5000000,17600000,20,465,6200000,5200000,16500000,5200000,Rejected,Poor,Upper-Middle,Silver,Long Term,Moderate,0,1,0
380,Kenneth Carlson,1991-12-17,0,Not Graduate,No,500000,1800000,2,531,1300000,500000,1900000,700000,Approved,Poor,Low,Bronze,Short Term,Low,0,0,1
381,Eric Sullivan,1995-03-26,1,Graduate,Yes,8300000,32100000,16,814,18500000,2700000,28900000,7500000,Approved,Excellent,High,Platinum,Long Term,Low,1,1,1
382,Gabrielle Humphrey,1986-03-14,0,Graduate,No,5300000,17900000,6,678,4700000,3900000,14400000,3600000,Approved,Good,Upper-Middle,Silver,Short Term,Low,1,0,1
383,Sara Rice,1974-04-30,2,Not Graduate,Yes,9300000,29000000,12,655,7900000,6800000,29900000,4900000,Approved,Good,High,Gold,Intermediate,Moderate,0,1,1
384,Sydney Baker,1960-07-28,3,Not Graduate,No,2300000,7400000,2,682,6500000,2400000,7600000,2100000,Approved,Good,Low-Middle,Bronze,Short Term,Moderate,0,0,1
385,Jose Burns,1972-05-30,1,Not Graduate,No,400000,1300000,6,695,200000,500000,800000,100000,Approved,Good,Low,Bronze,Short Term,Low,0,0,1
386,Kimberly Taylor,1985-01-29,3,Not Graduate,No,3200000,10800000,4,833,2600000,1000000,8700000,2600000,Approved,Excellent,Low-Middle,Silver,Short Term,Moderate,0,0,1
387,Thomas Parker,2002-01-11,5,Not Graduate,Yes,9400000,35300000,16,302,4100000,12500000,37000000,12900000,Rejected,Poor,High,Platinum,Long Term,High,0,1,0
388,Riley Burns,1999-01-11,1,Graduate,No,2300000,6600000,2,357,5900000,200000,6000000,2200000,Rejected,Poor,Low-Middle,Bronze,Short Term,Low,1,0,0
389,Jessica Andrews,1998-01-20,5,Not Graduate,No,4300000,14500000,12,302,12500000,4300000,12500000,5100000,Rejected,Poor,Upper-Middle,Silver,Intermediate,High,0,0,0
390,Angela Rose,1960-06-07,0,Graduate,Yes,6200000,22400000,18,873,15700000,6600000,15800000,8200000,Approved,Excellent,Upper-Middle,Gold,Long Term,Low,1,1,1
391,Austin Russo,1984-08-23,0,Not Graduate,Yes,7200000,19800000,12,658,12700000,8100000,25000000,7300000,Approved,Good,Upper-Middle,Silver,Intermediate,Low,0,1,1
392,Cameron Cooper,1995-08-06,5,Graduate,Yes,2400000,8700000,18,877,2800000,2900000,7100000,1100000,Approved,Excellent,Low-Middle,Bronze,Long Term,High,1,1,1
393,Rhonda Anderson,1963-06-20,3,Not Graduate,No,2900000,6300000,8,648,3400000,3400000,7600000,1400000,Approved,Average,Low-Middle,Bronze,Intermediate,Moderate,0,0,1
394,Laura Davenport,1962-04-02,1,Graduate,No,1400000,5200000,12,730,2900000,0,3700000,700000,Approved,Good,Low-Middle,Bronze,Intermediate,Low,1,0,1
395,Amy Webb,2006-02-04,4,Not Graduate,Yes,2200000,8200000,14,737,5800000,2800000,8200000,1400000,Approved,Good,Low-Middle,Bronze,Intermediate,High,0,1,1
396,Timothy Cochran,1959-12-28,2,Graduate,Yes,800000,3200000,10,584,0,200000,2100000,700000,Rejected,Average,Low,Bronze,Intermediate,Moderate,1,1,0
397,Sara Walters,1981-03-06,0,Graduate,No,600000,1700000,2,621,400000,400000,2000000,200000,Approved,Average,Low,Bronze,Short Term,Low,1,0,1
398,Geoffrey Velasquez,2005-03-06,4,Graduate,Yes,700000,2700000,16,583,1100000,1200000,1400000,300000,Approved,Average,Low,Bronze,Long Term,High,1,1,1
399,Abigail Hull,1999-07-28,2,Not Graduate,No,8400000,25900000,16,621,8600000,13400000,33500000,4200000,Approved,Average,High,Gold,Long Term,Moderate,0,0,1
400,Joshua Bartlett,1992-03-11,2,Not Graduate,No,7100000,21500000,16,610,5800000,12100000,14200000,9300000,Approved,Average,Upper-Middle,Gold,Long Term,Moderate,0,0,1
401,Jennifer Bishop,2004-09-13,4,Graduate,No,5400000,15700000,18,452,13700000,2600000,16500000,6600000,Rejected,Poor,Upper-Middle,Silver,Long Term,High,1,0,0
402,Charlotte Burns,2006-01-21,5,Graduate,No,3700000,7300000,18,339,9300000,100000,13900000,5300000,Rejected,Poor,Low-Middle,Bronze,Long Term,High,1,0,0
403,Joseph Garcia,1985-03-17,3,Graduate,Yes,5200000,15200000,16,650,1300000,5700000,13500000,4100000,Approved,Good,Upper-Middle,Silver,Long Term,Moderate,1,1,1
404,Curtis Smith,1996-11-13,4,Not Graduate,Yes,200000,700000,10,672,200000,200000,300000,300000,Approved,Good,Low,Bronze,Intermediate,High,0,1,1
405,Steve Crawford,1958-04-23,3,Graduate,No,500000,1000000,20,501,800000,800000,900000,200000,Rejected,Poor,Low,Bronze,Long Term,Moderate,1,0,0
406,Douglas Anderson,1967-09-23,2,Not Graduate,Yes,1800000,5700000,4,809,1200000,1900000,6300000,2400000,Approved,Excellent,Low-Middle,Bronze,Short Term,Moderate,0,1,1
407,Jacob Brown,1969-09-18,5,Graduate,Yes,9200000,29400000,8,318,18000000,5900000,33800000,5400000,Rejected,Poor,High,Gold,Intermediate,High,1,1,0
408,Victoria Santiago,1962-09-08,4,Not Graduate,No,900000,3300000,10,649,0,400000,1800000,1200000,Approved,Average,Low,Bronze,Intermediate,High,0,0,1
409,Eric Green,1991-12-08,3,Not Graduate,No,7500000,28300000,12,367,9200000,11300000,22700000,7000000,Rejected,Poor,Upper-Middle,Gold,Intermediate,Moderate,0,0,0
410,Carla Spencer,2005-11-24,5,Not Graduate,No,3000000,11800000,6,847,8200000,2200000,7100000,2300000,Approved,Excellent,Low-Middle,Silver,Short Term,High,0,0,1
411,Kenneth Hughes,1973-02-10,5,Graduate,No,7100000,18900000,12,360,10700000,1100000,19800000,8500000,Rejected,Poor,Upper-Middle,Silver,Intermediate,High,1,0,0
412,Kayla Carter,1966-12-04,1,Graduate,Yes,3500000,7200000,2,865,4100000,3200000,11900000,4200000,Approved,Excellent,Low-Middle,Bronze,Short Term,Low,1,1,1
413,Brenda Bray,1975-10-13,4,Not Graduate,No,4900000,18800000,16,880,4200000,4700000,13200000,2600000,Approved,Excellent,Upper-Middle,Silver,Long Term,High,0,0,1
414,Mr. James Nelson DDS,1995-06-07,1,Graduate,No,4100000,8400000,20,608,1400000,8000000,10000000,4400000,Approved,Average,Upper-Middle,Bronze,Long Term,Low,1,0,1
415,Jonathan York,1958-12-07,0,Graduate,Yes,800000,2100000,6,760,300000,100000,1600000,600000,Approved,Excellent,Low,Bronze,Short Term,Low,1,1,1
416,Austin Bush,1992-03-28,3,Graduate,Yes,1700000,4600000,12,385,1500000,1300000,5200000,1700000,Rejected,Poor,Low-Middle,Bronze,Intermediate,Moderate,1,1,0
417,Eric Doyle,1986-03-29,0,Graduate,Yes,6100000,23300000,12,478,3800000,2300000,17700000,4900000,Rejected,Poor,Upper-Middle,Gold,Intermediate,Low,1,1,0
418,Ashley Craig,1995-07-25,1,Graduate,Yes,2100000,7700000,16,327,5000000,500000,4700000,2300000,Rejected,Poor,Low-Middle,Bronze,Long Term,Low,1,1,0
419,Amber Burnett,2005-02-18,0,Graduate,No,3100000,9300000,6,663,1300000,1400000,8100000,3800000,Approved,Good,Low-Middle,Bronze,Short Term,Low,1,0,1
420,Michael Spence,1990-12-16,2,Not Graduate,Yes,1700000,3500000,20,693,2200000,1400000,4800000,1700000,Approved,Good,Low-Middle,Bronze,Long Term,Moderate,0,1,1
421,Janet Jones,1988-04-01,3,Graduate,No,1700000,5400000,6,710,4800000,700000,5800000,1700000,Approved,Good,Low-Middle,Bronze,Short Term,Moderate,1,0,1
422,Alicia Webster,1970-10-25,4,Not Graduate,Yes,4000000,14500000,6,711,2400000,5700000,10900000,4100000,Approved,Good,Low-Middle,Silver,Short Term,High,0,1,1
423,Steven Burns,1958-12-08,5,Graduate,No,5600000,18400000,8,386,11300000,6700000,11300000,5600000,Rejected,Poor,Upper-Middle,Silver,Intermediate,High,1,0,0
424,Joseph Graham,1997-03-17,4,Graduate,Yes,3900000,11900000,10,855,10200000,4000000,10200000,2800000,Approved,Excellent,Low-Middle,Silver,Intermediate,High,1,1,1
425,Paul Holmes,1959-09-02,4,Graduate,Yes,6100000,15300000,14,573,1100000,9900000,13300000,8400000,Approved,Average,Upper-Middle,Silver,Intermediate,High,1,1,1
426,Rachel Cummings,1970-01-31,0,Graduate,Yes,1100000,2800000,18,431,500000,300000,4300000,1400000,Rejected,Poor,Low-Middle,Bronze,Long Term,Low,1,1,0
427,Jesse Moreno,1990-10-20,2,Graduate,No,5500000,14800000,8,364,13000000,4500000,12600000,4500000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Moderate,1,0,0
428,Gregory Andrews,1969-07-13,4,Graduate,Yes,1100000,3600000,14,711,2500000,500000,3600000,600000,Approved,Good,Low-Middle,Bronze,Intermediate,High,1,1,1
429,Amy Martinez,1964-05-20,4,Not Graduate,Yes,400000,900000,20,771,1000000,500000,1600000,500000,Approved,Excellent,Low,Bronze,Long Term,High,0,1,1
430,Diane Clark,1973-06-28,3,Graduate,No,9200000,36400000,18,669,3100000,12700000,30900000,12300000,Approved,Good,High,Platinum,Long Term,Moderate,1,0,1
431,April Webb,1983-05-03,4,Not Graduate,Yes,9300000,27500000,18,338,21500000,500000,34900000,6600000,Rejected,Poor,High,Gold,Long Term,High,0,1,0
432,Kelsey Jordan,1972-01-07,1,Graduate,No,1100000,3500000,8,562,2300000,1200000,3200000,500000,Approved,Average,Low-Middle,Bronze,Intermediate,Low,1,0,1
433,Tina Jones,2006-01-25,3,Not Graduate,No,5600000,18700000,2,769,8000000,8200000,17300000,4800000,Approved,Excellent,Upper-Middle,Silver,Short Term,Moderate,0,0,1
434,Michael Ryan,1979-07-15,0,Graduate,Yes,6300000,21500000,8,629,600000,3400000,22000000,5200000,Approved,Average,Upper-Middle,Gold,Intermediate,Low,1,1,1
435,Michael Palmer,1987-05-06,3,Graduate,No,8800000,18100000,6,699,6400000,2100000,18500000,9400000,Approved,Good,High,Silver,Short Term,Moderate,1,0,1
436,Jeremiah Wilson,1998-06-12,0,Not Graduate,No,8400000,20800000,20,590,5100000,8900000,32100000,10800000,Approved,Average,High,Gold,Long Term,Low,0,0,1
437,Amber James,1983-05-06,3,Graduate,Yes,1600000,5700000,4,707,3300000,2700000,6200000,2300000,Approved,Good,Low-Middle,Bronze,Short Term,Moderate,1,1,1
438,Brandon Novak,1972-05-01,3,Not Graduate,Yes,4500000,11400000,8,391,8500000,6800000,9900000,4500000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Moderate,0,1,0
439,Dylan Camacho,1986-04-18,5,Not Graduate,No,6500000,18500000,4,891,13600000,3300000,23600000,7100000,Approved,Excellent,Upper-Middle,Silver,Short Term,High,0,0,1
440,Andrew Smith,1987-09-27,3,Graduate,Yes,9500000,20600000,2,731,13400000,3800000,20700000,9200000,Approved,Good,High,Gold,Short Term,Moderate,1,1,1
441,Rick Thomas,1959-01-27,3,Not Graduate,No,4700000,16700000,12,775,4000000,1700000,17300000,3500000,Approved,Excellent,Upper-Middle,Silver,Intermediate,Moderate,0,0,1
442,Daniel Kim,2000-08-13,5,Graduate,Yes,9600000,32400000,2,897,3500000,15400000,26800000,6200000,Approved,Excellent,High,Platinum,Short Term,High,1,1,1
443,Amber Reid,1976-01-18,5,Graduate,No,8000000,26700000,20,794,8000000,14700000,29900000,7800000,Approved,Excellent,High,Gold,Long Term,High,1,0,1
444,Juan Dennis,1985-08-14,2,Graduate,No,7700000,16700000,6,555,12900000,2900000,18100000,8500000,Approved,Average,High,Silver,Short Term,Moderate,1,0,1
445,Cassandra Jimenez,2004-03-15,1,Not Graduate,Yes,3600000,10300000,12,536,6800000,500000,12200000,2700000,Rejected,Poor,Low-Middle,Silver,Intermediate,Low,0,1,0
446,Gary Martin,1998-10-04,2,Not Graduate,No,700000,1700000,10,839,100000,700000,2000000,900000,Approved,Excellent,Low,Bronze,Intermediate,Moderate,0,0,1
447,Kevin Nguyen,1972-06-27,0,Graduate,Yes,1400000,5100000,6,890,4100000,1900000,5200000,1900000,Approved,Excellent,Low-Middle,Bronze,Short Term,Low,1,1,1
448,Mark Moore,1982-04-09,1,Graduate,Yes,8600000,27900000,20,415,12200000,14800000,27100000,7900000,Rejected,Poor,High,Gold,Long Term,Low,1,1,0
449,Edward Lucas,1994-08-10,4,Graduate,No,4700000,15700000,4,868,3300000,2500000,13800000,4800000,Approved,Excellent,Upper-Middle,Silver,Short Term,High,1,0,1
450,Robert Price,1991-12-25,3,Graduate,Yes,2900000,5800000,12,353,8400000,2600000,10100000,3100000,Rejected,Poor,Low-Middle,Bronze,Intermediate,Moderate,1,1,0
451,Tara Morales,1964-10-18,4,Not Graduate,No,9000000,29000000,16,590,4600000,15600000,29200000,12300000,Approved,Average,High,Gold,Long Term,High,0,0,1
452,John Russell,1967-01-28,5,Graduate,Yes,500000,900000,18,618,1400000,600000,1200000,400000,Approved,Average,Low,Bronze,Long Term,High,1,1,1
453,Denise Green,2004-04-28,2,Not Graduate,Yes,700000,1700000,10,539,1400000,1000000,1900000,900000,Rejected,Poor,Low,Bronze,Intermediate,Moderate,0,1,0
454,Javier Martinez,1981-11-21,0,Graduate,No,6800000,27000000,4,429,17100000,7600000,21400000,9400000,Approved,Poor,Upper-Middle,Gold,Short Term,Low,1,0,1
455,Kyle Allen,1996-05-23,2,Graduate,No,1800000,4700000,8,792,4500000,1200000,4100000,2200000,Approved,Excellent,Low-Middle,Bronze,Intermediate,Moderate,1,0,1
456,Valerie Henry,2001-10-03,0,Not Graduate,No,6000000,12400000,2,608,3000000,2100000,17900000,6800000,Approved,Average,Upper-Middle,Silver,Short Term,Low,0,0,1
457,Charles Vang,1992-10-19,4,Graduate,Yes,5400000,21500000,14,555,4300000,1500000,14300000,7500000,Approved,Average,Upper-Middle,Gold,Intermediate,High,1,1,1
458,Kenneth Kelly,1977-11-09,5,Graduate,Yes,8400000,17500000,12,620,15300000,13600000,26000000,5800000,Approved,Average,High,Silver,Intermediate,High,1,1,1
459,Kathryn Peters,1984-12-11,0,Graduate,No,7400000,20900000,6,635,15600000,14000000,21000000,7200000,Approved,Average,Upper-Middle,Gold,Short Term,Low,1,0,1
460,Dawn Kemp,1987-10-06,2,Graduate,No,3200000,12500000,10,457,6100000,2000000,8200000,4300000,Rejected,Poor,Low-Middle,Silver,Intermediate,Moderate,1,0,0
461,Jack Ware,1976-07-29,1,Graduate,Yes,5400000,21400000,8,350,2600000,1000000,19700000,6800000,Rejected,Poor,Upper-Middle,Gold,Intermediate,Low,1,1,0
462,Maria Duncan,1979-11-02,5,Graduate,Yes,1000000,2500000,14,885,2200000,100000,2300000,1100000,Approved,Excellent,Low,Bronze,Intermediate,High,1,1,1
463,John Serrano,1964-12-13,0,Graduate,No,4400000,14700000,16,638,4000000,2700000,14400000,2700000,Approved,Average,Upper-Middle,Silver,Long Term,Low,1,0,1
464,Danielle Hendricks,2002-01-18,1,Graduate,Yes,3800000,10500000,12,710,1800000,6200000,12500000,2500000,Approved,Good,Low-Middle,Silver,Intermediate,Low,1,1,1
465,Dave Pratt,1996-06-22,3,Not Graduate,Yes,6100000,20900000,18,470,500000,8500000,18000000,7500000,Rejected,Poor,Upper-Middle,Gold,Long Term,Moderate,0,1,0
466,Brian Carter,1991-03-08,5,Not Graduate,Yes,5500000,17300000,16,874,1000000,2900000,13700000,7900000,Approved,Excellent,Upper-Middle,Silver,Long Term,High,0,1,1
467,Brandon Williams,1989-06-26,5,Not Graduate,Yes,500000,1800000,18,411,1000000,500000,1300000,200000,Rejected,Poor,Low,Bronze,Long Term,High,0,1,0
468,Mr. Fernando Howell,2005-04-27,0,Not Graduate,Yes,300000,1100000,2,482,200000,100000,1100000,400000,Approved,Poor,Low,Bronze,Short Term,Low,0,1,1
469,Edward Nicholson,1985-03-09,1,Graduate,Yes,6200000,16900000,2,396,10600000,7500000,23700000,7600000,Rejected,Poor,Upper-Middle,Silver,Short Term,Low,1,1,0
470,Robert Perez,2000-02-02,0,Not Graduate,No,300000,900000,20,436,0,400000,600000,200000,Rejected,Poor,Low,Bronze,Long Term,Low,0,0,0
471,Jeffrey Fletcher,1965-01-01,0,Not Graduate,Yes,6900000,22100000,20,303,13600000,4600000,22000000,6900000,Rejected,Poor,Upper-Middle,Gold,Long Term,Low,0,1,0
472,Ryan Ewing,1964-01-24,4,Graduate,No,3700000,11400000,12,728,4200000,5800000,7300000,2300000,Approved,Good,Low-Middle,Silver,Intermediate,High,1,0,1
473,Nicholas Contreras,1992-06-04,3,Not Graduate,Yes,8800000,28600000,10,775,5200000,5000000,32000000,9600000,Approved,Excellent,High,Gold,Intermediate,Moderate,0,1,1
474,Emily Thomas,1967-02-11,5,Graduate,Yes,8200000,23500000,12,402,15100000,1500000,24300000,5800000,Rejected,Poor,High,Gold,Intermediate,High,1,1,0
475,Olivia Gonzales,1979-07-18,1,Not Graduate,Yes,9200000,31500000,18,698,5300000,6100000,20400000,8300000,Approved,Good,High,Platinum,Long Term,Low,0,1,1
476,Sean Swanson,1982-06-30,0,Not Graduate,No,2400000,7800000,14,665,5200000,2900000,6200000,2900000,Approved,Good,Low-Middle,Bronze,Intermediate,Low,0,0,1
477,Leonard Obrien,1958-09-18,4,Not Graduate,No,4100000,13500000,18,490,4700000,6200000,13900000,2000000,Rejected,Poor,Upper-Middle,Silver,Long Term,High,0,0,0
478,Nicole Andrews,1974-12-16,1,Graduate,No,8000000,31900000,12,504,23800000,1500000,22100000,6000000,Rejected,Poor,High,Platinum,Intermediate,Low,1,0,0
479,Richard Grant,1965-08-05,3,Not Graduate,Yes,3600000,8600000,8,790,5400000,5900000,9800000,5200000,Approved,Excellent,Low-Middle,Bronze,Intermediate,Moderate,0,1,1
480,Christopher Webb,1990-08-31,1,Not Graduate,Yes,700000,2700000,20,669,100000,1000000,2600000,500000,Approved,Good,Low,Bronze,Long Term,Low,0,1,1
481,Robert Campbell,1984-09-17,4,Not Graduate,No,8300000,30700000,6,381,21700000,2300000,26700000,4600000,Rejected,Poor,High,Platinum,Short Term,High,0,0,0
482,Jessica Lowe,1975-01-08,0,Graduate,Yes,5300000,15000000,2,900,1700000,2100000,21000000,5800000,Approved,Excellent,Upper-Middle,Silver,Short Term,Low,1,1,1
483,Riley Villarreal,1977-01-18,4,Graduate,No,8300000,24900000,16,506,15400000,5600000,26700000,7000000,Rejected,Poor,High,Gold,Long Term,High,1,0,0
484,Taylor Taylor,1978-01-30,3,Not Graduate,Yes,2500000,8800000,12,538,4900000,1800000,9100000,3300000,Rejected,Poor,Low-Middle,Bronze,Intermediate,Moderate,0,1,0
485,Michael Bass,1970-06-27,3,Graduate,Yes,5400000,14400000,8,677,11000000,7900000,20800000,3100000,Approved,Good,Upper-Middle,Silver,Intermediate,Moderate,1,1,1
486,Anthony Coleman,1989-10-22,4,Graduate,No,1600000,4900000,8,685,3200000,2000000,3800000,1500000,Approved,Good,Low-Middle,Bronze,Intermediate,High,1,0,1
487,Alexis Nguyen,1982-11-05,2,Not Graduate,No,2400000,6200000,12,860,4900000,3700000,9500000,1100000,Approved,Excellent,Low-Middle,Bronze,Intermediate,Moderate,0,0,1
488,Angela Bryant,1962-01-24,5,Not Graduate,No,6300000,14800000,6,608,16100000,10500000,21800000,5400000,Approved,Average,Upper-Middle,Silver,Short Term,High,0,0,1
489,Antonio Taylor,1959-05-19,4,Graduate,Yes,2500000,5300000,10,540,2300000,2800000,7100000,1700000,Rejected,Poor,Low-Middle,Bronze,Intermediate,High,1,1,0
490,Jennifer Lopez,2000-03-16,0,Graduate,Yes,7500000,16800000,16,492,21500000,4800000,25400000,11100000,Rejected,Poor,Upper-Middle,Silver,Long Term,Low,1,1,0
491,Joshua Colon,1968-11-13,3,Not Graduate,No,2900000,8500000,14,834,1200000,4500000,8800000,1800000,Approved,Excellent,Low-Middle,Bronze,Intermediate,Moderate,0,0,1
492,Matthew Griffith,1973-07-02,3,Graduate,Yes,1000000,3500000,16,834,800000,1700000,3000000,700000,Approved,Excellent,Low,Bronze,Long Term,Moderate,1,1,1
493,Laura Frazier,1971-05-05,2,Graduate,Yes,8600000,28800000,8,890,23300000,5900000,21200000,7200000,Approved,Excellent,High,Gold,Intermediate,Moderate,1,1,1
494,Kimberly Miller,1971-03-03,1,Not Graduate,No,300000,1100000,12,443,600000,400000,1200000,200000,Rejected,Poor,Low,Bronze,Intermediate,Low,0,0,0
495,Valerie Payne,1999-01-14,5,Not Graduate,No,2300000,5700000,18,329,5600000,3300000,4900000,2700000,Rejected,Poor,Low-Middle,Bronze,Long Term,High,0,0,0
496,Alexander Whitehead,1963-04-27,2,Not Graduate,Yes,2400000,5400000,12,739,300000,2500000,5000000,3000000,Approved,Good,Low-Middle,Bronze,Intermediate,Moderate,0,1,1
497,Samantha Marshall,1991-07-25,5,Graduate,Yes,9800000,30300000,6,867,20800000,16000000,30200000,7600000,Approved,Excellent,High,Platinum,Short Term,High,1,1,1
498,Rebecca Townsend,1963-11-27,2,Not Graduate,No,8100000,24800000,6,307,200000,4000000,31100000,10500000,Rejected,Poor,High,Gold,Short Term,Moderate,0,0,0
499,Meghan Johnson,2002-06-29,3,Graduate,No,6700000,15500000,18,492,2100000,2000000,26300000,9400000,Rejected,Poor,Upper-Middle,Silver,Long Term,Moderate,1,0,0
500,Charles Holland,2005-12-06,1,Not Graduate,Yes,8400000,24700000,18,698,23000000,13200000,32700000,12200000,Approved,Good,High,Gold,Long Term,Low,0,1,1
